name,title,content,release,time,number,index
人事管理,广西壮族自治区卫生健康委员会关于明确王盛同志主持工作的通知,桂卫人发〔2020〕21号广西壮族自治区卫生健康委员会关于明确王盛同志主持工作的通知委机关、中医药局机...,广西壮族自治区卫生健康委员会,2020年-05月-20日,桂卫人发〔2020〕21号,
人事管理,领导干部任职前公示,   根据有关规定，经自治区卫生健康委党组研究决定，对下列同志进行任职前公示。王海涛，男，1974年...,广西壮族自治区卫生健康委员会,2020年-05月-19日,,
人事管理,中共广西壮族自治区卫生健康委员会党组关于马金玉同志任免职的通知,桂卫党组〔2020〕33号中共广西壮族自治区卫生健康委员会党组关于马金玉同志任免职的通知委机关各党支部...,广西壮族自治区卫生健康委员会,2020年-05月-19日,桂卫党组〔2020〕33号,
人事管理,中共广西壮族自治区卫生健康委员会党组关于韦少俊等同志任职的通知,桂卫党组〔2020〕32号中共广西壮族自治区卫生健康委员会党组关于韦少俊等同志任职的通知委机关各党支部...,广西壮族自治区卫生健康委员会,2020年-05月-19日,桂卫党组〔2020〕32号,
人事管理,广西壮族自治区卫生健康委员会关于王海涛等同志任免职的通知,桂卫人发〔2020〕20号广西壮族自治区卫生健康委员会关于王海涛等同志任免职的通知委机关、中医药局机关...,广西壮族自治区卫生健康委员会,2020年-05月-19日,桂卫人发〔2020〕20号,
人事管理,广西壮族自治区卫生健康委员会关于韦宗华等同志任免职的通知,桂卫人发〔2020〕11号广西壮族自治区卫生健康委员会关于韦宗华等同志任免职的通知委机关、中医药局机关...,广西壮族自治区卫生健康委员会,2020年-05月-19日,桂卫人发〔2020〕11号,
人事管理,广西壮族自治区卫生健康委员会关于明确黄俊峰同志主持工作的通知,桂卫人发〔2020〕12号广西壮族自治区卫生健康委员会关于明确黄俊峰同志主持工作的通知委机关、中医药局...,广西壮族自治区卫生健康委员会,2020年-05月-19日,桂卫人发〔2020〕12号,
卫生计生监督,标题,内容概述,发布机构,发文时间,文号,索引号
卫生计生监督,自治区卫生健康委办公室关于印发2020年广西实施随机监督抽查计划的通知,桂卫办发〔2020〕37号自治区卫生健康委办公室关于印发2020年广西实施随机监督抽查计划的通知各市卫生健...,广西壮族自治区卫生健康委员会,2020年-05月-29日,桂卫办发〔2020〕37号,
卫生计生监督,自治区卫生健康委关于2019年度卫生健康行政处罚案件查处情况的通报,桂卫监督发〔2020〕6号自治区卫生健康委关于2019年度卫生健康行政处罚案件查处情况的通报各市卫生健康委...,广西壮族自治区卫生健康委员会,2020年-05月-06日,桂卫监督发〔2020〕6号,
卫生计生监督,自治区卫生健康委关于做好部分消毒剂在新型冠状病毒感染的肺炎疫情防控期间紧急上市监管工作的通知,桂卫明电〔2020〕5号自治区卫生健康委关于做好部分消毒剂在新型冠状病毒感染的肺炎疫情防控期间紧急上市...,广西壮族自治区卫生健康委员会,2020年-02月-05日,桂卫明电〔2020〕5号,
卫生计生监督,自治区卫生健康委关于印发《新型冠状病毒感染的肺炎防控卫生监督检查指南（试行）》的通知,桂卫监督发〔2020〕2号自治区卫生健康委关于印发《新型冠状病毒感染的肺炎防控卫生监督检查指南（试行）...,桂卫监督发〔2020〕2号,2020年-01月-31日,,
卫生计生监督,自治区卫生健康委关于优化消毒产品生产企业审批及备案有关事项的紧急通知,各市卫生健康委，自治区卫生监督所:为认真贯彻落实习近平总书记重要指示批示精神和李克强总理的重要批示...,广西壮族自治区卫生健康委员会,2020年-01月-29日,,
卫生计生监督,自治区卫生健康委关于印发广西壮族自治区卫生健康行政执法全过程音像记录事项清单（暂行）的通知,桂卫监督发〔2019〕11号自治区卫生健康委关于印发广西壮族自治区卫生健康行政执法全过程音像记录事项清...,广西壮族自治区卫生健康委员会,2019年-12月-27日,桂卫监督发〔2019〕11号,
卫生计生监督,自治区卫生健康委关于印发广西壮族自治区卫生健康行政执法行为规范用语指引（试行）的通知,桂卫监督发〔2019〕10号自治区卫生健康委关于印发广西壮族自治区卫生健康行政执法行为规范用语指引（试...,广西壮族自治区卫生健康委员会,2019年-12月-27日, 桂卫监督发〔2019〕10号,
卫生计生监督, 2019年自治区本级实施国家随机监督抽检计划结果公示(截至2019年9月9日),2019年自治区本级实施国家随机监督抽检计划结果公示   (截至2019年9月9日)序号单位名称注册地址单位...,广西壮族自治区卫生健康委员会,2019年-09月-17日,,
卫生计生监督,自治区卫生健康委关于2019年上半年卫生健康行政处罚案件查处情况的通报,各市、县（市、区）卫生健康委（局），自治区卫生监督所：为更好地践行“执法为民，护卫健康”主题教育...,广西壮族自治区卫生健康委员会,2019年-09月-02日,,
科技教育,标题,内容概述,发布机构,发文时间,文号,索引号
科技教育,自治区卫生健康委 自治区中医药局关于推进继续医学教育信息化平台建设和规范学分管理的通知,各市卫生健康委、中医药局，各高等医学院校，区直医疗卫生单位，医疗卫生有关学（协）会： 为提高全区...,广西壮族自治区卫生健康委员会,2020年-05月-21日,,
科技教育,自治区卫生健康委关于开展2020年全区住院医师规范化培训和助理全科医生培训结业考核工作的通知,各市、县（市、区）卫生健康委（局），区直各医疗卫生单位，各相关考核基地：为做好2020年全区住院医师...,广西壮族自治区卫生健康委员会,2020年-05月-09日,,
科技教育,自治区卫生健康委关于2020年广西科学技术奖网络提名情况的公示,根据《广西科学技术奖励办法》及实施细则的有关规定，为体现公开、公平、公正原则，加强社会对广西科学...,广西壮族自治区卫生健康委员会,2020年-05月-08日,,
科技教育,自治区卫生健康委关于印发《广西壮族自治区卫生健康委员会重点实验室管理办法（试行）》的通知_,桂卫科教发〔2020〕10号自治区卫生健康委关于印发《广西壮族自治区卫生健康委员会重点实验室管理办法（...,广西壮族自治区卫生健康委员会,2020年-04月-22日,桂卫科教发〔2020〕10号,
科技教育,自治区卫生健康委办公室关于开展2020年自治区卫生健康委重点实验室申报工作的通知,各市卫生健康委，区直各医疗卫生单位：为加快卫生健康科技创新平台建设，推动我区医疗卫生科技创新发展...,广西壮族自治区卫生健康委员会,2020年-04月-22日,,
科技教育,自治区卫生健康委关于印发《广西壮族自治区卫生健康委员会重点实验室管理办法（试行）》的通知,桂卫科教发〔2020〕10号自治区卫生健康委关于印发《广西壮族自治区卫生健康委员会重点实验室管理办法（...,广西壮族自治区卫生健康委员会,2020年-03月-31日,桂卫科教发〔2020〕10号,
科技教育,自治区中医药局关于印发广西壮族自治区中医住院医师规范化培训招收实施方案的通知,桂中医药科教发〔2020〕3号自治区中医药局关于印发广西壮族自治区中医住院医师规范化培训招收实施方案的...,广西壮族自治区卫生健康委员会,2020年-03月-20日,桂中医药科教发〔2020〕3号,
科技教育,自治区卫生健康委 自治区发展改革委 自治区教育厅 自治区财政厅 自治区人力资源社会保障厅自治区中医药局关于继续实施广西壮族自治区农村订单定向医学专科（高职）生免费培养项目的通知,桂卫科教发〔2020〕9号自治区卫生健康委 自治区发展改革委自治区教育厅 自治区财政厅 自治区人力资源...,广西壮族自治区卫生健康委员会,2020年-03月-11日,桂卫科教发〔2020〕9号,
科技教育,自治区卫生健康委办公室关于开展2020年基层卫生人员学历提升需求摸底调查的通知,各市、县（市、区）卫生健康委（局）：2019年，我委会同自治区教育厅组织开展了基层卫生人员学历提升计...,广西壮族自治区卫生健康委员会,2020年-03月-06日,,
综合管理,标题,内容概述,发布机构,发文时间,文号,索引号
综合管理,自治区卫生健康委关于公布卫生系统自治区、市、县、乡、村五级公共服务事项目录的通知,各市卫生健康委，委机关各处（室、局）：根据《广西壮族自治区大数据发展局（中国-东盟信息港建设办公室...,广西壮族自治区卫生和计划生育委员会,2019年-04月-15日,,
综合管理,自治区卫生健康委办公室关于做好全区乙类大型医用设备配置许可有关工作的通知,各有关单位:根据《自治区卫生健康委员会关于印发<广西壮族自治区乙类大型医用设备配置许可管理实施细则...,广西壮族自治区卫生健康委员会,2019年-04月-10日,,
综合管理,自治区卫生健康委关于成立绩效考评工作领导小组的通知,桂卫发〔2019〕4号自治区卫生健康委关于成立绩效考评工作领导小组的通知 pdf,广西壮族自治区卫生健康委员会,2019年-04月-10日,桂卫发〔2019〕4号,
综合管理,自治区卫生健康委办公室关于征集2019年广西地方卫生标准计划项目的通知,各市卫生健康委，委机关各处（室、局），区直各卫生计生单位，自治区卫生标准化技术委员会各专业委员会...,广西壮族自治区卫生健康委员会,2019年-04月-03日,,
综合管理,关于拟命名合山市、三江县和浦北县为自治区卫生城市（县城）及重新确认梧州市、玉林市和田东县为自治区卫生城市（县城）公示,根据《广西壮族自治区卫生城市考核命名和监督管理办法》、《广西壮族自治区卫生县城标准及其考核命名和...,广西壮族自治区卫生健康委员会,2019年-04月-03日,,
综合管理,广西壮族自治区卫生健康委员会公告2019年第3号,广西壮族自治区卫生健康委员会公告2019年第3号 pdf,广西壮族自治区卫生健康委员会,2019年-03月-28日,公告2019年第3号,
综合管理,广西壮族自治区卫生健康委员会2018年政府信息公开工作年度报告,本报告包括政府信息公开基本情况，围绕国家和自治区中心工作推进政府信息公开情况、主动公开政府信息情...,广西壮族自治区卫生健康委员会,2019年-03月-13日,,
综合管理,自治区卫生健康委办公室关于自行下载学习贯彻《国家卫生健康委办公厅关于印发》的通知,各市卫生计生委、区直各卫生计生单位：2019年1月29日，国家卫生健康委办公厅公开发布了《国家卫生健康委...,广西壮族自治区卫生健康委员会,2019年-02月-19日,,
综合管理,自治区卫生健康委关于印发2019年广西卫生健康工作要点的通知,桂卫发〔2019〕1号自治区卫生健康委关于印发2019年广西卫生健康工作要点的通知各市卫生健康委，委机关各...,广西壮族自治区卫生健康委员会,2019年-02月-01日,桂卫发〔2019〕1号,
法定传染病疫情公布,标题,内容概述,发布机构,发文时间,文号,索引号
法定传染病疫情公布,自治区卫生健康委公布2020年4月广西法定传染病疫情,甲类传染病无病例报告。乙类传染病报告15404例，死亡309人。报告的病种有艾滋病、病毒性肝炎、狂犬病、...,广西壮族自治区卫生健康委员会,2020年-05月-07日,,
法定传染病疫情公布,自治区卫生健康委公布2020年3月广西法定传染病疫情,甲类传染病无病例报告。乙类传染病报告14422例，死亡222人。报告的病种有艾滋病、病毒性肝炎、狂犬病、...,广西壮族自治区卫生健康委员会,2020年-04月-03日,,
法定传染病疫情公布,自治区卫生健康委公布2020年2月广西法定传染病疫情,甲类传染病无病例报告。乙类传染病报告10281例，死亡164人。报告的病种有艾滋病、病毒性肝炎、狂犬病、...,广西壮族自治区卫生健康委员会,2020年-03月-26日,,
法定传染病疫情公布,自治区卫生健康委公布2020年1月广西法定传染病疫情,甲类传染病无病例报告。乙类传染病报告13538例，死亡136人。报告的病种有艾滋病、病毒性肝炎、流行性出...,广西壮族自治区卫生健康委员会,2020年-03月-26日,,
法定传染病疫情公布,自治区卫生健康委公布2019年12月广西法定传染病疫情,甲类传染病无病例报告。乙类传染病报告14606例，死亡466人。报告的病种有艾滋病、病毒性肝炎、麻疹、流...,广西壮族自治区卫生健康委员会,2020年-03月-26日,,
法定传染病疫情公布,自治区卫生健康委公布2019年11月广西法定传染病疫情,甲类传染病无病例报告。乙类传染病报告15207例，死亡397人。报告的病种有艾滋病、病毒性肝炎、狂犬病、...,广西壮族自治区卫生健康委员会,2020年-03月-26日,,
法定传染病疫情公布,2020年1月医疗服务信息发布指标表,2020年1月医疗服务信息发布指标表_20200304173914 jpg,广西壮族自治区卫生健康委员会,2020年-03月-04日,,
法定传染病疫情公布,自治区卫生健康委公布2019年10月广西法定传染病疫情,甲类传染病无病例报告。乙类传染病报告16818例，死亡321人。报告的病种有艾滋病、病毒性肝炎、麻疹、流...,广西壮族自治区卫生健康委员会,2019年-11月-06日,,
综合管理,标题,内容概述,发布机构,发文时间,文号,索引号
综合管理,广西壮族自治区中医药管理局公告,（2019年第1号）按照《自治区党委办公厅 自治区人民政府办公厅印发的通知》要求，为切实提高我局依法行...,广西壮族自治区卫生健康委员会,2019年-06月-14日,?  （2019年第1号）,
综合管理,自治区卫生健康委办公室关于贯彻落实职业健康检查管理办法的通知,各市卫生健康委，自治区职业病防治研究院：为进一步贯彻落实职业健康管理办法，国家卫生健康委员会办公...,广西壮族自治区卫生健康委员会,2019年-06月-11日,,
综合管理,自治区卫生健康委办公室关于印发广西在矿山、冶金、化工等行业领域开展尘毒危害专项治理工作方案的通知,桂卫办发〔2019〕59号各市卫生健康委：为贯彻落实《国家职业病防治规划（2016-2020年）》，切实做好“十...,广西壮族自治区卫生健康委员会,2019年-06月-06日,桂卫办发〔2019〕59号,
综合管理,自治区卫生健康委 自治区中医药局关于印发《全区医疗卫生机构厕所整洁专项行动方案》的通知,桂卫规划发〔2019〕3号自治区卫生健康委 自治区中医药局关于印发《全区医疗卫生机构厕所整洁专项行动方...,广西壮族自治区卫生健康委员会,2019年-06月-05日,桂卫规划发〔2019〕3号,
综合管理,自治区爱卫办关于在卫生城镇推进“厕所革命”工作的通知,桂爱卫办〔2019〕46 号自治区爱卫办关于在卫生城镇推进“厕所革命”工作的通知各市、县（市、区）爱卫...,广西壮族自治区卫生健康委员会,2019年-06月-05日,桂爱卫办〔2019〕46 号,
综合管理,自治区卫生健康委关于做好第32个世界无烟日宣传活动等近期控烟重点工作的通知,各市、县（市、区）卫生健康委（局），自治区疾控中心，区直各医疗卫生单位：为贯彻落实国家卫生健康委...,广西壮族自治区卫生健康委员会,2019年-05月-23日,,
综合管理,自治区卫生健康委办公室关于执行全国医院数据上报管理方案（试行）和全国医院上报数据统计分析指标集（试行）的通知,自治区卫生健康委办公室关于执行全国医院数据上报管理方案（试行）和全国医院上报数据统计分析指标集（...,广西壮族自治区卫生健康委员会,2019年-05月-21日,,
综合管理,标题,内容概述,发布机构,发文时间,文号,索引号
综合管理,广西壮族自治区人民政府办公厅关于印发 广西壮族自治区老年人优待规定（修订）的通知,桂政办发（2019）80号广西壮族自治区人民政府办公厅关于印发 广西壮族自治区老年人优待规定（修订）的...,广西壮族自治区卫生健康委员会,2019年-07月-26日,桂政办发（2019）80号,
综合管理,广西壮族自治区人民政府办公厅关于改革完善医疗卫生行业综合监管制度的实施意见,广西壮族自治区人民政府办公厅关于改革完善医疗卫生行业综合监管制度的实施意见 (桂政办发〔2019〕79号...,广西壮族自治区卫生健康委员会,2019年-07月-19日,桂政办发〔2019〕79号,
综合管理,自治区卫生健康委办公室关于启用新版生育服务证及相关表格的通知,各市、县（市、区）卫生健康委（局）：近年来，各地按照《自治区卫生计生委办公室关于进一步规范生育服...,广西壮族自治区卫生健康委员会,2019年-07月-18日,,
综合管理,自治区爱卫办关于做好下放自治区卫生县城评审工作的通知,桂爱卫办〔2019〕51号各市爱卫会：为进一步深化“放管服”改革，简化程序，提高效率，更好地推进新时期...,广西壮族自治区卫生健康委员会,2019年-07月-09日,桂爱卫办〔2019〕51号,
综合管理,自治区卫生健康委 自治区中医药局关于印发广西健康医疗产业发展专项行动计划（2019-2021年）的通知,桂卫规划发〔2019〕4号自治区卫生健康委 自治区中医药局关于印发广西健康医疗产业发展专项行动计划（2...,广西壮族自治区卫生健康委员会,2019年-07月-01日,桂卫规划发〔2019〕4号,
综合管理,自治区爱卫会关于重新确认梧州市、玉林市和田东县为自治区卫生城市（县城）的通报,桂爱卫会〔2019〕4号各市爱卫会：根据《广西壮族自治区爱国卫生管理办法》《广西壮族自治区卫生城市标准...,广西壮族自治区卫生健康委员会,2019年-06月-20日,桂爱卫会〔2019〕4号,
综合管理,自治区爱卫会关于命名合山市、三江侗族自治县和浦北县为自治区卫生城市（县城）的决定,桂爱卫会〔2019〕3号各市爱卫会：根据《广西壮族自治区爱国卫生管理办法》《广西壮族自治区卫生城市标准...,广西壮族自治区卫生健康委员会,2019年-06月-20日,桂爱卫会〔2019〕3号,
综合管理,自治区卫生健康委办公室关于做好2019年夏季防暑降温工作的通知,各市卫生健康委：目前，全国各地陆续进入高温酷暑季节，为切实做好高温季节防暑降温工作，有效预防和控...,广西壮族自治区卫生健康委员会,2019年-06月-19日,,
综合管理,自治区卫生健康委办公室转发国家卫生健康委办公厅关于开展职业病防治技术支撑机构摸底调查的通知, 各市卫生健康委，各有关单位：为贯彻落实习近平总书记关于职业病防治的重要指示精神和国务院第46次常...,广西壮族自治区卫生健康委员会,2019年-06月-18日,,
法定传染病疫情公布,自治区卫生健康委公布2019年9月广西法定传染病疫情,甲类传染病无病例报告。乙类传染病报告16929例，死亡274人。报告的病种有艾滋病、病毒性肝炎、麻疹、狂...,广西壮族自治区卫生健康委员会,2019年-11月-05日,,
综合管理,自治区卫生健康委办公室关于切实做好2019年卫生健康系统汛期安全防范工作的通知,桂卫办发〔2019〕43号 各市卫生健康委，区直各卫生计生单位：当前，我区已全面进入汛期。据气象部门预...,广西壮族自治区卫生健康委员会,2019年-05月-10日,桂卫办发〔2019〕43号,
综合管理,自治区卫生健康委关于2019年“谁执法谁普法”任务措施清单的函,桂卫函〔2019〕522号自治区卫生健康委关于2019年“谁执法谁普法”任务措施清单的函自治区党委全面依法治...,广西壮族自治区卫生健康委员会,2019年-05月-08日,桂卫函〔2019〕522号,
统计信息,标题,内容概述,发布机构,发文时间,文号,索引号
统计信息,2020年4月医疗服务信息发布指标表,,广西壮族自治区卫生健康委员会,2020年-05月-25日,,
统计信息,2020年3月医疗服务信息发布指标表,2020年3月医疗服务信息发布指标表_20200423154927 jpg,广西壮族自治区卫生健康委员会,2020年-04月-23日,,
统计信息,2020年2月医疗服务信息发布指标表,2020年2月医疗服务信息发布指标表 jpg,广西壮族自治区卫生健康委员会,2020年-03月-30日,,
统计信息,2019年11月医疗服务信息发布指标表,2019年11月医疗服务信息发布指标表,广西壮族自治区卫生健康委员会,2019年-12月-25日,,
统计信息,2019年10月医疗服务信息发布指标表,2019年10月医疗服务信息发布指标表,广西壮族自治区卫生健康委员会,2019年-11月-25日,,
统计信息,2019年9月医疗服务信息发布指标表,2019年9月医疗服务信息发布指标表,,2019年-10月-24日,,
统计信息,2019年8月医疗服务信息发布指标表,2019年8月医疗服务信息发布指标表_20190925164058 jpg,广西壮族自治区卫生健康委员会,2019年-09月-25日,,
统计信息,2019年7月医疗服务信息发布指标表,2019年7月医疗服务信息发布指标表_ jpg,广西壮族自治区卫生健康委员会,2019年-08月-26日,,
统计信息,2019年6月医疗服务信息发布指标表,2019年6月医疗服务信息发布指标表 jpg,广西壮族自治区卫生健康委员会,2019年-07月-24日,,
综合管理,标题,内容概述,发布机构,发文时间,文号,索引号
综合管理,自治区爱卫办关于印发《2018年全区爱国卫生工作要点》的通知,桂爱卫办〔2018〕5号自治区爱卫办关于印发《2018年全区爱国卫生工作要点》的通知各市、县（市、区）爱卫...,广西壮族自治区卫生和计划生育委员会,2018年-03月-12日,桂爱卫办〔2018〕5号,
综合管理,自治区卫生计生委关于2017年法治政府建设有关情况的报告,桂卫报〔2018〕21号_自治区卫生计生委关于2017年法治政府建设有关情况的报告 PDF,广西壮族自治区卫生和计划生育委员会,2018年-03月-07日,桂卫报〔2018〕21号,
综合管理,自治区卫生计生委关于印发2018年广西卫生计生工作要点的通知,桂卫发〔2018〕3号自治区卫生计生委关于印发2018年广西卫生计生工作要点的通知各市卫生计生委，委机关各...,广西壮族自治区卫生和计划生育委员会,2018年-02月-22日,桂卫发〔2018〕3号,
综合管理,自治区爱卫办关于开展2018年春季爱国卫生运动的通知,桂爱卫办〔2018〕4号自治区爱卫办关于开展2018年春季爱国卫生运动的通知各市爱卫会：为进一步改善我区城...,广西壮族自治区卫生和计划生育委员会,2018年-02月-01日,桂爱卫办〔2018〕4号,
综合管理,国务院办公厅关于印发消防安全责任制实施办法的通知,国办发〔2017〕87号各省、自治区、直辖市人民政府，国务院各部委、各直属机构：《消防安全责任制实施办...,广西壮族自治区卫生和计划生育委员会,2018年-02月-01日,国办发〔2017〕87号,
综合管理,自治区卫生计生委关于报送易地扶贫搬迁工作2017年工作总结和2018年工作计划的函,桂卫函〔2018〕103号自治区卫生计生委关于报送易地扶贫搬迁工作2017年工作总结和2018年工作计划的函自治...,广西壮族自治区卫生和计划生育委员会,2018年-01月-23日,桂卫函〔2018〕103号,
综合管理,标题,内容概述,发布机构,发文时间,文号,索引号
综合管理,自治区卫生计生委办公室关于印发《推进广西卫生计生社会公益事业建设领域政府信息公开实施方案》的通知,各市卫生计生委，委机关各处（室、局），自治区计生协各部（室），委直属各单位：根据《广西壮族自治区...,广西壮族自治区卫生和计划生育委员会,2018年-11月-06日,桂卫办发〔2018〕79号,
综合管理,自治区防艾办关于做好2018年“世界艾滋病日”宣传活动的通知,各市防艾办，自治区防治艾滋病工作委员会各成员单位：《国务院防治艾滋病工作委员会办公室关于做好2018...,广西壮族自治区卫生和计划生育委员会,2018年-11月-05日,桂防艾办〔2018〕17号,
综合管理,桂财社〔2018〕100号广西壮族自治区财政厅 卫生和计划生育委员会关于调整计划生育家庭特别扶助制度扶助标准的通知,桂财社〔2018〕100号广西壮族自治区财政厅 卫生和计划生育委员会关于调整计划生育家庭特别扶助制度扶助...,广西壮族自治区卫生和计划生育委员会,2018年-10月-30日,桂财社〔2018〕,
综合管理,自治区卫生计生委办公室关于印发自治区卫生计生委推进重点领域“一事通办”改革工作方案的通知,各市卫生计生委，委机关各相关处室：根据自治区人民政府有关推进“一事通办”改革工作的要求，我委组织...,广西壮族自治区卫生和计划生育委员会,2018年-10月-12日,桂卫办发〔2018〕75号,
综合管理,自治区卫生计生委关于宣布失效第一批委文件的决定,           桂卫发〔2018〕12号自治区卫生计生委关于宣布失效第一批委文件的决定各市、县（...,广西壮族自治区卫生和计划生育委员会,2018年-09月-25日,桂卫发〔2018〕12号,
综合管理,广西壮族自治区人民政府办公厅关于印发广西促进“互联网+医疗健康”发展实施方案的通知,桂政办发（2018）122号 广西壮族自治区人民政府办公厅关于印发广西促进“互联网+医疗健康”发展实施方...,广西壮族自治区卫生健康委员会,2018年-09月-25日,,
综合管理,自治区卫生计生委办公室关于开展2017年度全区科普统计调查工作的通知,委直属各有关单位： 根据《科技部关于开展2017年度全国科普统计调查工作的通知》（国科发政〔2018〕80...,广西壮族自治区卫生和计划生育委员会,2018年-08月-14日,,
综合管理,自治区卫生计生委办公室关于征求乙类大型医用设备配置许可管理实施细则（征求意见稿）修改意见的通知,自治区卫生计生委办公室关于征求乙类大型医用设备配置许可管理实施细则（征求意见稿）修改意见的通知 pdf,广西壮族自治区卫生和计划生育委员会,2018年-08月-13日,,
综合管理,标题,内容概述,发布机构,发文时间,文号,索引号
综合管理,自治区卫生计生委办公室关于开展长春长生公司狂犬病疫苗接种者跟踪观察和咨询服务及疫苗补种等相关工作督导检查的通知,   各市、县（市、区）卫生计生委（局），各督导组成员所在单位：为做好长春长生生物科技有限公司（...,广西壮族自治区卫生和计划生育委员会,2018年-08月-08日,,
综合管理,自治区卫生计生委办公室关于印发2018年政务公开工作要点的通知,          委机关各处（室、局），计生协会办公室：现将《自治区卫生计生委2018年政务公开工...,广西壮族自治区卫生和计划生育委员会,2018年-07月-20日,,
综合管理,自治区卫生计生委办公室关于印发2017年度绩效考评公众评议意见建议整改方案的通知,桂卫办发〔2018〕39号自治区卫生计生委办公室关于印发2017年度绩效考评公众评议意见建议整改方案的通知...,广西壮族自治区卫生和计划生育委员会,2018年-06月-29日,桂卫办发〔2018〕39号,
综合管理,关于开展2018年健康中国行—科学健身主题宣传活动暨健康八桂行宣传周的通知,桂卫爱卫发〔2018〕3号关于开展2018年健康中国行—科学健身主题宣传活动暨健康八桂行宣传周的通知各市卫...,广西壮族自治区卫生和计划生育委员会,2018年-06月-01日,桂卫爱卫发〔2018〕3号,
综合管理,自治区卫生计生委 自治区爱卫办关于开展第31个世界无烟日宣传活动和加强控烟履约工作的通知,桂卫爱卫发〔2018〕2号  自治区卫生计生委 自治区爱卫办关于开展第31个世界无烟日宣传活动和加强控烟...,广西壮族自治区卫生和计划生育委员会,2018年-05月-21日,桂卫爱卫发〔2018〕2号 ,
综合管理,自治区卫生计生委在国际护士节致全区护理工作者的慰问信,全区护理工作者们：在这生机盎然、姹紫嫣红的美好时节，我们迎来了全世界护理工作者的共同节日——第10...,广西壮族自治区卫生和计划生育委员会,2018年-05月-10日,,
法律法规规章,标题,内容概述,发布机构,发文时间,文号,索引号
法律法规规章,《国家安全法》解读,　　问：为什么要制定《国家安全法》？答：根据《国家安全法》第1条规定，为了维护国家安全，保卫人民民...,广西壮族自治区卫生健康委员会,2019年-04月-17日,,
法律法规规章,网络安全法,网络安全法 doc,广西壮族自治区卫生健康委员会,2019年-04月-17日,,
法律法规规章,核安全法,核安全法 pdf,广西壮族自治区卫生健康委员会,2019年-04月-17日,,
法律法规规章,反恐怖主义法,反恐怖主义法 doc,广西壮族自治区卫生健康委员会,2019年-04月-17日,,
法律法规规章,国家安全法,（１９９３年２月２２日第七届全国人民代表大会常务委员会第三十次会议通过１９９３年２月２２日中华人...,广西壮族自治区卫生健康委员会,2019年-04月-17日,,
